Province_State,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
Alabama,3,0,3.0,0.0
Alaska,0,0,0.0,0.0
American Samoa,0,0,0.0,0.0
Arizona,9,0,3.0,0.0
Arkansas,0,0,0.0,0.0
California,178,4,34.0,2.0
Colorado,34,0,17.0,0.0
Connecticut,3,0,2.0,0.0
Delaware,1,0,1.0,0.0
Diamond Princess,0,0,0.0,0.0
District of Columbia,0,0,0.0,0.0
Florida,24,2,9.0,0.0
Georgia,23,0,6.0,0.0
Grand Princess,0,0,0.0,0.0
Guam,0,0,0.0,0.0
Hawaii,2,0,-1.0,0.0
Idaho,0,0,0.0,0.0
Illinois,25,0,13.0,0.0
Indiana,11,0,5.0,0.0
Iowa,13,0,5.0,0.0
Kansas,1,0,0.0,0.0
Kentucky,8,0,3.0,0.0
Louisiana,5,0,5.0,0.0
Maine,0,0,0.0,0.0
Maryland,9,0,1.0,0.0
Massachusetts,132,0,22.0,0.0
Michigan,2,0,2.0,0.0
Minnesota,5,0,3.0,0.0
Mississippi,0,0,0.0,0.0
Missouri,1,0,0.0,0.0
Montana,0,0,0.0,0.0
Nebraska,5,0,2.0,0.0
Nevada,7,0,3.0,0.0
New Hampshire,5,0,1.0,0.0
New Jersey,23,1,8.0,0.0
New Mexico,3,0,3.0,0.0
New York,216,1,64.0,1.0
North Carolina,9,0,2.0,0.0
North Dakota,0,0,0.0,0.0
Northern Mariana Islands,0,0,0.0,0.0
Ohio,4,0,1.0,0.0
Oklahoma,2,0,0.0,0.0
Oregon,19,0,5.0,0.0
Pennsylvania,16,0,4.0,0.0
Puerto Rico,0,0,0.0,0.0
Rhode Island,5,0,2.0,0.0
South Carolina,10,0,3.0,0.0
South Dakota,8,1,8.0,1.0
Tennessee,9,0,6.0,0.0
Texas,21,0,5.0,0.0
Utah,3,0,1.0,0.0
Vermont,1,0,0.0,0.0
Virgin Islands,0,0,0.0,0.0
Virginia,9,0,1.0,0.0
Washington,282,24,115.0,1.0
West Virginia,0,0,0.0,0.0
Wisconsin,4,0,1.0,0.0
Wyoming,0,0,0.0,0.0
