state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-11-18,"528,156",73.84,"715,410","85,662",12.03,"64,644",75.91,"85,159"
AL,2020-11-18,"10,907",77.16,"14,136","1,374",9.72,"1,313",87.42,"1,502"
AZ,2020-11-18,"10,288",75.63,"13,603","1,794",13.21,"1,264",63.68,"1,985"
CT,2020-11-18,"6,072",74.19,"8,184","1,003",12.26,582,55.17,"1,055"
DC,2020-11-18,"2,449",83.53,"2,932",225,7.67,289,86.53,334
GA,2020-11-18,"15,217",80.0,"19,022","2,089",10.98,"2,193",83.42,"2,629"
ID,2020-11-18,"1,970",60.24,"3,270",430,13.15,205,70.45,291
IN,2020-11-18,"11,326",68.87,"16,445","3,032",18.44,"1,704",78.71,"2,165"
KS,2020-11-18,"4,788",62.76,"7,629","1,132",14.84,660,82.81,797
LA,2020-11-18,"8,864",69.06,"12,836",851,6.75,"1,306",72.0,"1,814"
MD,2020-11-18,"8,110",83.63,"9,698","1,494",15.41,"1,021",79.46,"1,285"
MI,2020-11-18,"17,422",80.3,"21,697","3,848",17.74,"2,259",83.54,"2,704"
AK,2020-11-18,932,65.27,"1,428",142,9.94,103,77.44,133
AR,2020-11-18,"5,503",65.82,"8,361",903,10.8,767,75.94,"1,010"
CA,2020-11-18,"46,556",73.91,"63,066","5,313",8.42,"5,489",75.39,"7,281"
CO,2020-11-18,"6,936",68.51,"10,124","1,591",15.72,976,73.38,"1,330"
DE,2020-11-18,"1,864",73.94,"2,521",201,7.97,149,85.63,174
FL,2020-11-18,"40,861",79.16,"51,620","4,129",8.15,"5,022",79.88,"6,287"
HI,2020-11-18,"1,657",66.07,"2,508",88,3.51,136,62.67,217
IA,2020-11-18,"5,335",67.34,"7,923","1,530",19.57,554,80.06,692
IL,2020-11-18,"20,772",69.8,"29,760","6,114",20.54,"2,519",66.32,"3,798"
KY,2020-11-18,"8,522",71.92,"11,850","1,565",13.21,"1,179",77.01,"1,531"
MA,2020-11-18,"11,980",68.75,"17,426",916,5.26,"1,032",53.64,"1,924"
ME,2020-11-18,"1,994",70.94,"2,811",123,4.38,239,75.16,318
MN,2020-11-18,"8,120",76.34,"10,637","1,985",18.66,820,83.5,982
MO,2020-11-18,"11,555",66.16,"17,464","2,747",15.73,"1,560",77.77,"2,006"
MS,2020-11-18,"5,431",66.97,"8,110",891,10.99,683,80.64,847
MT,2020-11-18,"1,969",70.55,"2,791",482,17.27,173,76.55,226
ND,2020-11-18,"1,619",81.11,"1,996",474,23.75,137,95.8,143
NH,2020-11-18,"1,969",70.05,"2,811",125,4.45,173,61.35,282
NJ,2020-11-18,"14,780",76.36,"19,356","2,545",13.15,"1,512",66.64,"2,269"
NV,2020-11-18,"5,882",80.06,"7,347","1,282",17.87,737,83.28,885
NY,2020-11-18,"34,906",73.92,"47,224","3,250",6.88,"3,457",59.63,"5,797"
OK,2020-11-18,"7,139",70.15,"10,177","1,396",13.89,869,82.29,"1,056"
PA,2020-11-18,"24,796",77.02,"32,195","3,943",12.4,"3,205",82.73,"3,874"
SC,2020-11-18,"8,015",82.53,"9,712",781,8.04,993,78.87,"1,259"
TN,2020-11-18,"12,633",76.52,"16,510","2,130",13.29,"1,850",85.37,"2,167"
UT,2020-11-18,"3,139",60.08,"5,225",540,10.33,475,75.64,628
VA,2020-11-18,"11,913",69.54,"17,132","1,399",8.17,"1,385",68.23,"2,030"
NC,2020-11-18,"17,128",77.04,"22,233","2,156",9.79,"2,009",79.75,"2,519"
NE,2020-11-18,"3,227",69.65,"4,633","1,004",22.05,452,77.13,586
NM,2020-11-18,"2,865",76.87,"3,727",731,19.61,382,97.95,390
OH,2020-11-18,"20,791",71.32,"29,152","4,086",14.05,"3,001",77.19,"3,888"
OR,2020-11-18,"4,988",75.38,"6,617",511,7.72,527,67.05,786
RI,2020-11-18,"1,787",88.42,"2,021",315,15.59,138,93.24,148
SD,2020-11-18,"1,552",66.35,"2,339",547,23.39,169,84.92,199
TX,2020-11-18,"48,881",75.57,"64,718","8,503",13.16,"6,286",87.41,"7,191"
VT,2020-11-18,690,57.69,"1,196",20,1.67,55,52.88,104
WA,2020-11-18,"8,737",70.25,"12,467",808,6.48,970,74.22,"1,307"
WI,2020-11-18,"8,739",71.21,"12,273","2,446",20.35,"1,113",69.78,"1,595"
WV,2020-11-18,"3,881",75.51,"5,140",457,8.89,494,79.68,620
WY,2020-11-18,699,51.51,"1,357",221,16.42,58,48.74,119
