state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-30,"527,380",74.45,"708,339","129,052",18.32,"68,263",79.26,"86,129"
CT,2020-12-30,"6,096",78.31,"7,784","1,326",17.03,661,61.49,"1,075"
DC,2020-12-30,"2,352",81.27,"2,894",290,10.02,277,82.2,337
AK,2020-12-30,858,58.61,"1,464",73,4.99,79,59.85,132
AL,2020-12-30,"11,070",78.33,"14,133","2,922",20.68,"1,362",93.42,"1,458"
AR,2020-12-30,"5,541",73.12,"7,578","1,180",15.57,771,74.85,"1,030"
AZ,2020-12-30,"11,349",79.88,"14,208","4,531",31.94,"1,640",76.39,"2,147"
CA,2020-12-30,"51,859",79.83,"64,965","21,379",32.91,"7,437",88.49,"8,404"
CO,2020-12-30,"6,666",65.18,"10,227","1,209",11.82,898,66.47,"1,351"
DE,2020-12-30,"1,871",73.2,"2,556",470,18.39,156,81.25,192
FL,2020-12-30,"41,560",80.2,"51,823","6,896",13.55,"5,256",83.2,"6,317"
GA,2020-12-30,"17,159",89.55,"19,162","4,985",26.02,"2,392",91.4,"2,617"
HI,2020-12-30,"1,719",69.45,"2,475",106,4.28,148,66.97,221
IA,2020-12-30,"3,998",57.47,"6,957",608,8.87,476,69.19,688
ID,2020-12-30,"1,813",58.28,"3,111",337,10.83,204,68.92,296
IL,2020-12-30,"20,031",68.84,"29,100","4,197",14.42,"2,324",66.42,"3,499"
IN,2020-12-30,"10,981",66.88,"16,420","2,819",17.17,"1,697",79.45,"2,136"
KS,2020-12-30,"4,754",60.68,"7,835","1,007",12.85,646,80.05,807
KY,2020-12-30,"7,513",61.23,"12,271","1,651",13.45,"1,176",66.86,"1,759"
LA,2020-12-30,"9,037",70.52,"12,815","1,544",12.44,"1,420",78.76,"1,803"
MA,2020-12-30,"11,940",78.84,"15,145","2,071",13.67,"1,117",75.12,"1,487"
MD,2020-12-30,"8,099",84.4,"9,596","2,086",21.74,"1,071",78.75,"1,360"
ME,2020-12-30,"1,954",68.61,"2,848",216,7.58,236,74.21,318
MI,2020-12-30,"15,158",73.84,"20,528","2,705",13.18,"2,027",77.04,"2,631"
MN,2020-12-30,"7,162",73.43,"9,753","1,038",10.64,703,73.92,951
MS,2020-12-30,"5,329",66.44,"8,021","1,416",17.65,732,84.04,871
MT,2020-12-30,"1,756",62.25,"2,821",204,7.23,148,66.97,221
ND,2020-12-30,"1,435",70.79,"2,027",210,10.36,120,56.87,211
NJ,2020-12-30,"14,913",75.19,"19,835","3,840",19.36,"1,678",68.86,"2,437"
NV,2020-12-30,"5,970",81.61,"7,315","1,874",26.24,824,85.83,960
NY,2020-12-30,"35,107",71.28,"49,253","8,709",17.68,"3,658",67.9,"5,387"
OK,2020-12-30,"7,078",73.63,"9,613","2,029",21.46,960,89.22,"1,076"
PA,2020-12-30,"25,227",78.86,"31,990","6,645",21.0,"3,266",82.16,"3,975"
SC,2020-12-30,"8,283",85.67,"9,669","1,977",20.45,"1,068",84.29,"1,267"
TN,2020-12-30,"12,295",70.79,"17,369","3,306",19.77,"1,842",88.81,"2,074"
UT,2020-12-30,"3,074",58.55,"5,250",559,10.65,413,66.08,625
VA,2020-12-30,"11,893",73.02,"16,288","2,601",15.97,"1,436",74.48,"1,928"
MO,2020-12-30,"11,589",75.72,"15,306","2,680",17.51,"1,558",85.04,"1,832"
NC,2020-12-30,"17,024",78.93,"21,568","3,480",16.23,"2,107",85.2,"2,473"
NE,2020-12-30,"3,071",63.22,"4,858",557,11.66,386,68.68,562
NH,2020-12-30,"1,933",69.73,"2,772",333,12.01,177,62.32,284
NM,2020-12-30,"2,797",75.47,"3,706",759,20.48,407,96.9,420
OH,2020-12-30,"20,600",71.69,"28,735","4,786",16.83,"3,100",74.52,"4,160"
OR,2020-12-30,"4,827",73.21,"6,593",633,9.6,529,69.15,765
RI,2020-12-30,"2,108",90.51,"2,329",481,20.65,143,86.67,165
SD,2020-12-30,"1,418",60.31,"2,351",287,12.21,146,61.34,238
TX,2020-12-30,"47,313",75.82,"62,398","12,707",20.44,"6,826",92.23,"7,401"
VT,2020-12-30,729,62.1,"1,174",37,3.15,64,62.14,103
WA,2020-12-30,"8,703",69.75,"12,477","1,125",9.02,966,73.13,"1,321"
WI,2020-12-30,"7,840",62.63,"12,518","1,182",9.65,971,59.86,"1,622"
WV,2020-12-30,"3,881",77.13,"5,032",864,17.17,509,83.72,608
WY,2020-12-30,647,45.47,"1,423",125,8.86,55,43.31,127
