state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-07,"505,203",72.08,"701,028","108,144",15.5,"64,922",76.29,"84,992"
AK,2020-12-07,847,58.45,"1,449",157,10.84,90,72.0,125
AL,2020-12-07,"10,496",74.11,"14,163","2,095",14.79,"1,315",89.21,"1,474"
AR,2020-12-07,"5,228",70.36,"7,431","1,055",14.2,826,81.62,"1,012"
AZ,2020-12-07,"10,058",74.13,"13,568","3,162",23.34,"1,406",69.64,"2,019"
CA,2020-12-07,"46,241",75.42,"61,309","11,401",18.62,"5,849",80.31,"7,283"
CT,2020-12-07,"5,808",71.49,"8,124","1,388",17.09,611,55.34,"1,104"
DC,2020-12-07,"2,318",80.15,"2,892",255,8.82,269,82.77,325
DE,2020-12-07,"1,717",68.35,"2,512",398,15.84,151,83.89,180
FL,2020-12-07,"39,652",76.91,"51,554","5,060",9.99,"4,954",79.47,"6,234"
GA,2020-12-07,"15,053",79.79,"18,866","2,926",15.51,"2,279",86.2,"2,644"
HI,2020-12-07,"1,673",67.27,"2,487",59,2.37,147,63.64,231
IA,2020-12-07,"4,681",58.75,"7,967",904,11.5,489,71.49,684
ID,2020-12-07,"1,761",56.95,"3,092",444,14.38,193,67.96,284
IL,2020-12-07,"19,537",66.79,"29,250","5,232",17.89,"2,409",65.28,"3,690"
IN,2020-12-07,"10,912",67.23,"16,231","3,170",19.53,"1,711",78.88,"2,169"
KS,2020-12-07,"4,488",57.63,"7,788","1,166",14.97,657,81.61,805
KY,2020-12-07,"8,187",68.98,"11,868","1,786",15.05,"1,153",73.96,"1,559"
LA,2020-12-07,"8,554",68.06,"12,567","1,354",10.97,"1,350",75.67,"1,784"
MA,2020-12-07,"11,428",71.95,"15,884","1,395",8.78,"1,045",64.35,"1,624"
MD,2020-12-07,"7,861",80.87,"9,721","1,964",20.2,"1,031",79.13,"1,303"
ME,2020-12-07,"1,900",66.36,"2,863",213,7.44,231,73.1,316
MI,2020-12-07,"16,110",75.19,"21,426","4,166",19.44,"2,145",80.19,"2,675"
CO,2020-12-07,"6,554",64.37,"10,181","1,755",17.24,991,66.87,"1,482"
MN,2020-12-07,"7,033",73.49,"9,570","1,824",19.06,747,77.01,970
MO,2020-12-07,"10,847",77.47,"14,001","2,573",18.38,"1,538",87.24,"1,763"
MS,2020-12-07,"5,006",62.84,"7,966","1,150",14.44,685,81.45,841
MT,2020-12-07,"1,859",65.05,"2,858",390,13.66,159,70.98,224
NC,2020-12-07,"16,129",75.48,"21,368","2,590",12.2,"1,978",81.1,"2,439"
ND,2020-12-07,"1,447",72.13,"2,006",392,19.54,124,86.11,144
NE,2020-12-07,"3,190",67.8,"4,705",829,17.92,408,70.92,576
NH,2020-12-07,"1,862",67.2,"2,771",230,8.3,177,62.77,282
NJ,2020-12-07,"14,698",75.68,"19,420","3,591",18.49,"1,579",67.16,"2,351"
NM,2020-12-07,"2,856",75.47,"3,784",861,22.76,412,100.92,408
NV,2020-12-07,"5,881",79.79,"7,371","1,793",24.89,788,85.71,920
NY,2020-12-07,"34,241",72.97,"46,923","5,707",12.16,"3,424",58.6,"5,843"
OH,2020-12-07,"19,996",68.24,"29,301","5,471",18.71,"3,108",76.76,"4,049"
OK,2020-12-07,"6,260",66.94,"9,351","1,605",17.42,956,88.93,"1,075"
OR,2020-12-07,"4,592",72.53,"6,331",667,10.54,494,65.71,751
PA,2020-12-07,"24,100",74.7,"32,263","6,425",20.12,"3,274",80.34,"4,075"
RI,2020-12-07,"1,736",87.68,"1,980",459,23.18,132,83.54,158
SC,2020-12-07,"7,561",78.33,"9,653","1,133",11.74,990,78.26,"1,265"
SD,2020-12-07,"1,437",61.15,"2,350",459,19.53,170,74.02,230
TN,2020-12-07,"12,238",74.3,"16,472","2,718",16.99,"1,866",81.77,"2,178"
TX,2020-12-07,"45,818",73.43,"62,568","9,458",15.15,"6,280",89.18,"7,048"
UT,2020-12-07,"2,840",54.49,"5,213",574,11.01,474,73.72,643
VA,2020-12-07,"11,531",67.36,"17,118","1,878",10.97,"1,384",68.04,"2,034"
VT,2020-12-07,623,53.07,"1,174",34,2.9,61,58.65,104
WA,2020-12-07,"8,188",65.35,"12,530","1,131",9.03,873,67.99,"1,284"
WV,2020-12-07,"3,643",72.27,"5,041",691,13.71,490,80.33,610
WI,2020-12-07,"7,914",64.2,"12,328","1,794",14.88,986,61.83,"1,595"
WY,2020-12-07,613,43.2,"1,419",207,14.7,62,49.21,126
