state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-29,"519,038",73.49,"706,313","129,526",18.42,"67,870",78.78,"86,152"
CT,2020-12-29,"5,910",76.05,"7,771","1,366",17.58,665,61.92,"1,074"
DC,2020-12-29,"2,292",80.85,"2,835",301,10.62,268,80.72,332
AK,2020-12-29,777,53.81,"1,444",80,5.54,89,70.63,126
AL,2020-12-29,"10,994",77.85,"14,122","2,932",20.77,"1,344",92.85,"1,447"
AR,2020-12-29,"5,486",72.66,"7,550","1,227",16.25,769,74.73,"1,029"
AZ,2020-12-29,"11,099",78.69,"14,105","4,546",32.28,"1,638",76.12,"2,152"
CA,2020-12-29,"51,300",79.28,"64,706","21,302",32.92,"7,306",87.81,"8,321"
CO,2020-12-29,"6,476",63.54,"10,192","1,241",12.18,905,67.14,"1,348"
DE,2020-12-29,"1,799",70.88,"2,538",482,18.99,148,77.08,192
FL,2020-12-29,"41,029",79.32,"51,728","6,836",13.46,"5,168",81.97,"6,304"
GA,2020-12-29,"16,538",86.95,"19,019","4,763",25.04,"2,412",91.05,"2,649"
HI,2020-12-29,"1,691",68.24,"2,478",106,4.28,141,65.28,216
IA,2020-12-29,"4,768",61.63,"7,737",609,7.98,479,69.62,688
ID,2020-12-29,"1,812",58.36,"3,105",340,10.95,209,70.61,296
IL,2020-12-29,"19,678",67.63,"29,098","4,307",14.8,"2,358",67.07,"3,515"
IN,2020-12-29,"10,868",66.16,"16,426","2,917",17.76,"1,702",79.41,"2,144"
KS,2020-12-29,"4,603",58.99,"7,803","1,001",12.83,651,80.97,804
KY,2020-12-29,"7,254",59.11,"12,272","1,704",13.89,"1,162",66.03,"1,759"
LA,2020-12-29,"8,852",70.39,"12,576","1,538",12.46,"1,406",78.9,"1,782"
MA,2020-12-29,"11,695",77.89,"15,014","2,051",13.66,"1,119",76.28,"1,467"
MD,2020-12-29,"8,027",83.93,"9,564","2,092",21.87,"1,066",79.97,"1,333"
ME,2020-12-29,"1,941",68.27,"2,843",226,7.95,240,74.77,321
MI,2020-12-29,"15,007",73.5,"20,419","2,856",13.98,"2,018",76.52,"2,638"
MN,2020-12-29,"6,959",72.41,"9,611","1,074",11.17,706,75.35,937
MS,2020-12-29,"5,176",64.68,"8,003","1,432",17.89,704,82.53,853
MT,2020-12-29,"1,740",61.7,"2,820",227,8.05,145,64.73,224
ND,2020-12-29,"1,434",70.47,"2,035",214,10.52,113,54.59,207
NJ,2020-12-29,"14,825",74.76,"19,831","3,844",19.38,"1,680",68.97,"2,436"
NV,2020-12-29,"6,032",81.51,"7,400","1,944",26.9,823,86.27,954
NY,2020-12-29,"35,193",69.67,"50,514","8,828",17.48,"3,664",67.13,"5,459"
OK,2020-12-29,"6,872",71.47,"9,615","1,990",21.04,963,89.08,"1,081"
PA,2020-12-29,"25,093",78.31,"32,042","6,775",21.38,"3,238",82.48,"3,926"
SC,2020-12-29,"8,122",84.08,"9,660","1,920",19.88,"1,053",83.21,"1,266"
TN,2020-12-29,"12,279",74.4,"16,505","3,313",20.68,"1,858",86.74,"2,142"
UT,2020-12-29,"2,870",54.7,"5,247",545,10.39,393,62.88,625
VA,2020-12-29,"11,863",72.22,"16,427","2,582",15.72,"1,440",73.79,"1,952"
MO,2020-12-29,"11,274",74.34,"15,166","2,703",17.82,"1,526",83.75,"1,822"
NC,2020-12-29,"16,724",77.95,"21,456","3,538",16.59,"2,070",84.01,"2,464"
NE,2020-12-29,"2,975",62.26,"4,778",559,11.9,365,65.77,555
NH,2020-12-29,"1,927",69.52,"2,772",309,11.15,179,63.25,283
NM,2020-12-29,"2,741",74.2,"3,694",743,20.11,403,95.95,420
OH,2020-12-29,"20,187",70.76,"28,526","4,888",17.17,"3,102",74.6,"4,158"
OR,2020-12-29,"4,661",70.78,"6,585",626,9.51,532,67.41,790
RI,2020-12-29,"2,109",90.83,"2,322",489,21.06,146,87.95,166
SD,2020-12-29,"1,371",58.25,"2,354",283,12.02,147,62.29,236
TX,2020-12-29,"45,421",74.35,"61,090","12,492",20.51,"6,818",91.25,"7,472"
VT,2020-12-29,722,61.45,"1,175",36,3.06,61,59.22,103
WA,2020-12-29,"8,415",68.2,"12,339","1,127",9.13,960,72.13,"1,331"
WI,2020-12-29,"7,720",61.71,"12,510","1,217",9.94,948,58.55,"1,619"
WV,2020-12-29,"3,842",75.79,"5,069",875,17.26,517,85.03,608
WY,2020-12-29,595,41.81,"1,423",128,9.11,52,40.94,127
