state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-11-12,"531,425",74.34,"714,970","74,350",10.45,"64,366",74.81,"86,044"
AL,2020-11-12,"11,097",78.47,"14,141","1,317",9.31,"1,319",87.52,"1,507"
AZ,2020-11-12,"9,886",73.36,"13,476","1,370",10.18,"1,208",62.92,"1,920"
CA,2020-11-12,"45,275",72.42,"62,521","4,169",6.68,"5,298",72.95,"7,263"
CT,2020-11-12,"6,220",75.94,"8,191",846,10.33,576,54.6,"1,055"
DC,2020-11-12,"2,489",83.95,"2,965",189,6.37,283,76.69,369
GA,2020-11-12,"15,466",81.77,"18,913","2,044",10.81,"2,250",84.81,"2,653"
ID,2020-11-12,"1,940",55.05,"3,524",385,10.93,192,65.31,294
IN,2020-11-12,"11,536",70.34,"16,400","2,555",15.58,"1,650",76.39,"2,160"
KS,2020-11-12,"4,869",63.84,"7,627",938,12.3,626,80.67,776
LA,2020-11-12,"8,926",69.64,"12,817",675,5.37,"1,317",72.09,"1,827"
MD,2020-11-12,"8,484",83.57,"10,152","1,246",12.27,"1,010",76.63,"1,318"
MI,2020-11-12,"17,352",79.31,"21,880","3,334",15.24,"2,164",82.5,"2,623"
AK,2020-11-12,946,65.97,"1,434",123,8.58,78,56.52,138
AR,2020-11-12,"5,539",65.87,"8,409",861,10.24,765,72.17,"1,060"
CO,2020-11-12,"7,089",70.42,"10,067","1,324",13.15,993,75.0,"1,324"
DE,2020-11-12,"1,772",71.05,"2,494",180,7.22,152,87.36,174
FL,2020-11-12,"40,636",78.39,"51,835","4,150",8.17,"4,956",78.75,"6,293"
HI,2020-11-12,"1,761",70.54,"2,481",73,2.94,143,61.11,234
IA,2020-11-12,"5,325",67.8,"7,854","1,252",16.14,568,83.41,681
IL,2020-11-12,"21,102",70.5,"29,933","5,504",18.39,"2,454",64.96,"3,778"
KY,2020-11-12,"8,699",73.4,"11,852","1,388",11.71,"1,170",76.62,"1,527"
MA,2020-11-12,"12,176",69.89,"17,422",683,3.92,"1,026",53.63,"1,913"
ME,2020-11-12,"1,961",69.02,"2,841",97,3.41,238,73.46,324
MN,2020-11-12,"8,187",74.69,"10,962","1,605",14.64,794,80.77,983
MO,2020-11-12,"11,692",66.75,"17,516","2,399",13.7,"1,543",79.37,"1,944"
MS,2020-11-12,"5,407",67.13,"8,054",745,9.25,714,79.87,894
MT,2020-11-12,"1,997",69.63,"2,868",429,14.96,176,77.19,228
ND,2020-11-12,"1,629",79.74,"2,043",518,25.35,133,95.68,139
NH,2020-11-12,"1,999",68.65,"2,912",104,3.57,175,62.06,282
NJ,2020-11-12,"14,690",75.93,"19,346","1,968",10.17,"1,451",65.15,"2,227"
NV,2020-11-12,"5,688",77.67,"7,323",976,13.64,682,79.03,863
NY,2020-11-12,"41,173",76.11,"54,096","3,224",5.96,"4,227",61.94,"6,824"
OK,2020-11-12,"7,235",69.42,"10,422","1,193",11.74,893,76.59,"1,166"
PA,2020-11-12,"25,095",77.94,"32,196","2,984",9.36,"3,159",81.52,"3,875"
SC,2020-11-12,"7,922",79.66,"9,945",719,7.23,950,74.98,"1,267"
TN,2020-11-12,"12,831",77.44,"16,570","1,933",12.02,"1,819",80.7,"2,254"
UT,2020-11-12,"3,214",61.59,"5,218",493,9.45,464,74.84,620
VA,2020-11-12,"12,109",70.91,"17,077","1,285",7.52,"1,381",68.16,"2,026"
NC,2020-11-12,"16,544",77.42,"21,370","1,758",8.27,"1,946",79.82,"2,438"
NE,2020-11-12,"3,643",73.43,"4,961",943,19.32,447,73.16,611
NM,2020-11-12,"2,233",69.8,"3,199",624,19.51,328,86.09,381
OH,2020-11-12,"21,052",72.67,"28,971","3,362",11.63,"2,888",76.77,"3,762"
OR,2020-11-12,"4,875",73.94,"6,593",393,5.96,525,66.62,788
RI,2020-11-12,"1,799",90.27,"1,993",256,12.84,140,88.05,159
SD,2020-11-12,"1,573",67.37,"2,335",533,22.83,171,82.21,208
TX,2020-11-12,"45,665",79.28,"57,744","7,653",13.29,"6,227",87.59,"7,109"
VT,2020-11-12,380,56.21,676,19,2.81,36,58.06,62
WA,2020-11-12,"8,704",69.53,"12,518",622,4.97,959,71.14,"1,348"
WI,2020-11-12,"8,801",71.47,"12,314","2,299",19.25,"1,148",70.47,"1,629"
WV,2020-11-12,"4,046",79.44,"5,093",419,8.23,499,79.71,626
WY,2020-11-12,696,48.81,"1,426",191,13.49,55,45.83,120
