state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-17,"532,534",74.84,"711,582","117,698",16.61,"67,958",78.79,"86,248"
AK,2020-12-17,898,62.97,"1,426",121,8.49,95,76.0,125
AL,2020-12-17,"11,010",78.13,"14,093","2,509",17.8,"1,308",90.61,"1,443"
AR,2020-12-17,"5,716",74.16,"7,708","1,110",14.39,830,81.77,"1,015"
AZ,2020-12-17,"11,148",79.11,"14,092","3,890",27.65,"1,593",73.55,"2,166"
CA,2020-12-17,"49,843",78.7,"63,335","16,820",26.56,"6,742",86.42,"7,801"
CT,2020-12-17,"6,038",75.35,"8,013","1,369",17.08,666,60.49,"1,101"
DC,2020-12-17,"2,418",82.5,"2,931",309,10.54,296,86.05,344
DE,2020-12-17,"1,833",71.63,"2,559",451,17.62,167,86.53,193
FL,2020-12-17,"42,926",82.29,"52,166","5,730",11.19,"5,300",83.89,"6,318"
GA,2020-12-17,"15,998",84.22,"18,995","3,617",19.04,"2,370",89.47,"2,649"
HI,2020-12-17,"1,754",70.84,"2,476",71,2.87,158,71.17,222
IA,2020-12-17,"5,076",65.27,"7,777",700,9.13,499,72.32,690
ID,2020-12-17,"1,874",59.78,"3,135",447,14.26,245,83.62,293
IL,2020-12-17,"20,671",71.36,"28,968","4,732",16.34,"2,460",69.75,"3,527"
IN,2020-12-17,"11,346",69.09,"16,422","3,030",18.45,"1,697",79.41,"2,137"
KS,2020-12-17,"4,886",62.22,"7,853","1,103",14.05,678,83.97,808
KY,2020-12-17,"7,501",62.23,"12,054","1,742",14.45,"1,200",72.82,"1,648"
LA,2020-12-17,"9,086",71.78,"12,657","1,331",10.71,"1,414",77.69,"1,820"
MA,2020-12-17,"11,656",77.25,"15,089","1,723",11.42,"1,033",71.05,"1,454"
MD,2020-12-17,"7,861",82.72,"9,503","1,937",20.38,"1,026",79.91,"1,284"
ME,2020-12-17,"1,995",70.02,"2,849",234,8.21,233,71.47,326
MI,2020-12-17,"15,799",76.51,"20,649","3,353",16.24,"2,132",80.79,"2,639"
CO,2020-12-17,"7,176",70.41,"10,192","1,544",15.15,983,64.59,"1,522"
MN,2020-12-17,"7,242",73.88,"9,803","1,320",13.46,743,77.28,962
MO,2020-12-17,"11,841",76.82,"15,414","2,688",17.44,"1,528",83.41,"1,832"
MS,2020-12-17,"5,250",65.5,"8,015","1,293",16.13,728,85.35,853
MT,2020-12-17,"1,915",68.0,"2,816",281,9.98,161,71.88,224
NC,2020-12-17,"16,998",79.08,"21,495","2,986",13.97,"2,071",82.67,"2,505"
ND,2020-12-17,"1,465",71.43,"2,051",292,14.24,129,63.24,204
NE,2020-12-17,"3,312",68.71,"4,820",622,13.12,424,73.61,576
NH,2020-12-17,"1,919",69.28,"2,770",299,10.79,169,60.36,280
NJ,2020-12-17,"14,694",74.81,"19,643","3,700",18.84,"1,603",65.89,"2,433"
NM,2020-12-17,"2,890",75.58,"3,823",820,21.44,422,97.57,432
NV,2020-12-17,"6,048",81.64,"7,408","1,912",26.39,832,89.37,931
NY,2020-12-17,"34,593",68.66,"50,383","6,887",13.67,"3,556",61.68,"5,766"
OH,2020-12-17,"20,721",71.23,"29,090","5,322",18.33,"3,166",76.66,"4,130"
OK,2020-12-17,"7,089",74.01,"9,578","1,824",19.32,989,89.18,"1,109"
OR,2020-12-17,"4,957",74.7,"6,636",670,10.09,536,67.68,792
PA,2020-12-17,"25,297",78.18,"32,357","6,922",21.62,"3,268",82.13,"3,980"
RI,2020-12-17,"2,089",89.05,"2,346",505,21.53,147,92.45,159
SC,2020-12-17,"8,238",84.77,"9,718","1,436",14.78,"1,058",83.37,"1,269"
SD,2020-12-17,"1,469",62.46,"2,352",358,15.22,173,71.78,241
TN,2020-12-17,"12,593",76.23,"16,520","3,019",18.84,"1,898",84.54,"2,245"
TX,2020-12-17,"49,722",76.56,"64,941","10,181",15.72,"6,636",89.73,"7,396"
UT,2020-12-17,"3,186",61.02,"5,221",552,10.57,465,74.88,621
VA,2020-12-17,"12,104",72.38,"16,722","2,290",13.69,"1,476",74.41,"1,983"
VT,2020-12-17,695,59.15,"1,175",28,2.43,69,66.35,104
WA,2020-12-17,"8,816",69.92,"12,608","1,155",9.16,991,73.08,"1,356"
WV,2020-12-17,"3,934",78.48,"5,013",780,15.57,501,82.54,607
WI,2020-12-17,"8,296",66.36,"12,500","1,512",12.36,"1,036",64.45,"1,608"
WY,2020-12-17,653,45.92,"1,422",172,12.19,58,45.67,127
