state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-10,"534,652",75.57,"707,692","111,884",15.88,"67,662",79.05,"85,593"
CT,2020-12-10,"6,238",76.59,"8,145","1,363",16.73,651,59.07,"1,102"
DC,2020-12-10,"2,503",84.7,"2,955",269,9.1,281,83.63,336
ID,2020-12-10,"1,839",59.07,"3,113",432,13.88,218,75.69,288
IN,2020-12-10,"11,556",70.13,"16,479","3,178",19.29,"1,719",79.11,"2,173"
KS,2020-12-10,"4,936",62.84,"7,855","1,209",15.39,675,83.23,811
LA,2020-12-10,"9,203",72.68,"12,663","1,387",11.15,"1,412",77.29,"1,827"
MD,2020-12-10,"8,233",84.34,"9,762","2,084",21.35,"1,032",79.57,"1,297"
AK,2020-12-10,854,59.6,"1,433",138,9.63,96,72.18,133
AL,2020-12-10,"11,087",78.28,"14,163","2,236",15.79,"1,317",91.71,"1,436"
AR,2020-12-10,"5,727",74.88,"7,648","1,055",13.79,825,82.34,"1,002"
AZ,2020-12-10,"11,014",78.77,"13,983","3,479",24.92,"1,511",72.02,"2,098"
CA,2020-12-10,"49,226",77.64,"63,405","12,905",20.35,"6,342",84.33,"7,520"
CO,2020-12-10,"7,018",68.56,"10,235","1,683",16.44,"1,021",67.71,"1,508"
DE,2020-12-10,"1,871",72.89,"2,567",424,16.52,159,88.83,179
FL,2020-12-10,"41,512",80.05,"51,856","5,204",10.22,"5,232",83.23,"6,286"
GA,2020-12-10,"15,859",83.6,"18,970","3,119",16.44,"2,310",87.97,"2,626"
HI,2020-12-10,"1,743",69.83,"2,496",69,2.76,157,67.97,231
IA,2020-12-10,"5,057",63.39,"7,978",844,10.72,531,77.07,689
IL,2020-12-10,"20,624",70.49,"29,258","5,252",17.95,"2,552",69.1,"3,693"
KY,2020-12-10,"8,527",71.7,"11,893","1,736",14.6,"1,183",74.1,"1,597"
MA,2020-12-10,"12,086",78.49,"15,399","1,471",9.55,"1,061",72.28,"1,468"
ME,2020-12-10,"2,015",70.18,"2,871",218,7.61,234,72.83,322
MI,2020-12-10,"16,170",77.88,"20,763","3,860",18.59,"2,171",84.02,"2,584"
MN,2020-12-10,"7,579",76.59,"9,895","1,707",17.25,798,80.01,998
MS,2020-12-10,"5,390",66.82,"8,067","1,203",14.91,715,82.75,864
MT,2020-12-10,"1,998",69.52,"2,874",389,13.54,166,74.77,222
ND,2020-12-10,"1,562",75.83,"2,060",366,17.74,133,62.15,214
NJ,2020-12-10,"15,270",77.81,"19,624","3,703",18.87,"1,583",66.79,"2,370"
NV,2020-12-10,"6,028",81.37,"7,408","1,878",25.96,765,84.62,904
NY,2020-12-10,"35,442",75.44,"46,979","6,119",13.02,"3,666",63.82,"5,744"
OK,2020-12-10,"7,030",73.82,"9,523","1,620",17.27,977,88.34,"1,106"
PA,2020-12-10,"25,520",79.07,"32,274","6,842",21.42,"3,329",81.95,"4,062"
SC,2020-12-10,"8,198",84.08,"9,750","1,213",12.44,"1,033",81.47,"1,268"
TN,2020-12-10,"12,798",77.51,"16,512","2,778",17.33,"1,890",87.1,"2,170"
UT,2020-12-10,"3,119",59.83,"5,213",571,10.95,514,82.24,625
VA,2020-12-10,"12,231",71.43,"17,124","2,002",11.69,"1,481",74.38,"1,991"
MO,2020-12-10,"11,658",78.08,"14,931","2,587",17.33,"1,551",85.74,"1,809"
NC,2020-12-10,"16,841",78.36,"21,492","2,768",12.96,"2,040",83.13,"2,454"
NE,2020-12-10,"3,336",69.82,"4,778",807,17.18,422,73.26,576
NH,2020-12-10,"2,053",74.12,"2,770",254,9.17,186,65.96,282
NM,2020-12-10,"2,895",75.83,"3,818",886,23.21,412,100.98,408
OH,2020-12-10,"21,263",71.7,"29,657","5,509",18.61,"3,239",79.52,"4,073"
OR,2020-12-10,"4,899",75.01,"6,531",686,10.5,536,69.34,773
RI,2020-12-10,"1,744",84.76,"2,058",504,24.5,139,90.26,154
SD,2020-12-10,"1,546",65.43,"2,363",440,18.62,172,69.92,246
TX,2020-12-10,"49,223",77.65,"63,553","9,704",15.31,"6,597",90.06,"7,326"
VT,2020-12-10,700,59.68,"1,173",22,1.88,67,65.69,102
WA,2020-12-10,"8,621",68.52,"12,581","1,099",8.74,925,70.94,"1,304"
WI,2020-12-10,"8,249",66.64,"12,378","1,684",13.91,"1,069",66.65,"1,604"
WV,2020-12-10,"3,877",77.57,"4,998",725,14.51,499,81.8,610
WY,2020-12-10,684,48.2,"1,419",204,14.52,66,51.97,127
