state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-25,"452,149",65.05,"695,092","117,223",16.94,"63,914",74.66,"85,608"
CT,2020-12-25,"5,308",68.38,"7,762","1,302",16.77,636,59.27,"1,073"
DC,2020-12-25,"2,065",74.71,"2,764",289,10.46,240,75.24,319
ID,2020-12-25,"1,457",47.75,"3,051",333,10.91,196,66.44,295
IN,2020-12-25,"9,166",56.74,"16,155","2,714",16.8,"1,544",72.91,"2,117"
KS,2020-12-25,"3,849",49.54,"7,770",900,11.59,603,74.81,806
LA,2020-12-25,"7,567",60.29,"12,552","1,343",10.9,"1,293",71.63,"1,805"
MD,2020-12-25,"7,063",75.8,"9,318","1,927",20.68,999,79.54,"1,256"
AK,2020-12-25,733,51.19,"1,432",68,4.75,79,62.2,127
AL,2020-12-25,"9,243",66.09,"13,985","2,552",18.25,"1,250",86.65,"1,443"
AR,2020-12-25,"4,358",60.02,"7,261","1,038",14.3,756,75.68,999
AZ,2020-12-25,"9,944",72.34,"13,746","4,130",30.09,"1,577",75.04,"2,102"
CA,2020-12-25,"47,476",76.36,"62,172","19,512",31.38,"6,874",85.94,"7,999"
CO,2020-12-25,"5,629",55.37,"10,167","1,233",12.13,843,57.62,"1,463"
DE,2020-12-25,"1,529",60.87,"2,512",464,18.47,149,78.42,190
FL,2020-12-25,"35,377",69.19,"51,129","5,936",11.83,"4,855",77.51,"6,264"
GA,2020-12-25,"14,227",75.48,"18,848","4,201",22.29,"2,302",86.9,"2,649"
HI,2020-12-25,"1,598",64.78,"2,467",100,4.05,121,55.25,219
IA,2020-12-25,"3,908",50.44,"7,747",572,7.48,448,65.69,682
IL,2020-12-25,"17,188",59.07,"29,095","4,047",13.91,"2,262",64.39,"3,513"
KY,2020-12-25,"6,374",51.85,"12,293","1,524",12.4,"1,094",62.27,"1,757"
MA,2020-12-25,"10,406",70.9,"14,677","1,868",12.73,"1,064",73.84,"1,441"
ME,2020-12-25,"1,663",59.44,"2,798",228,8.15,205,64.06,320
MI,2020-12-25,"12,462",62.84,"19,831","2,728",13.76,"1,902",73.13,"2,601"
MN,2020-12-25,"5,942",63.82,"9,311","1,031",11.07,676,71.46,946
MS,2020-12-25,"4,409",55.98,"7,877","1,280",16.25,707,82.88,853
MT,2020-12-25,"1,502",53.16,"2,825",201,7.11,144,63.3,228
ND,2020-12-25,"1,207",60.81,"1,985",233,11.74,119,58.91,202
NJ,2020-12-25,"12,833",66.03,"19,436","3,578",18.41,"1,596",64.69,"2,468"
NV,2020-12-25,"5,400",72.97,"7,400","1,773",24.47,781,84.62,923
NY,2020-12-25,"30,394",60.55,"50,194","7,665",15.27,"3,366",58.44,"5,759"
OK,2020-12-25,"5,939",62.37,"9,521","1,826",19.49,905,85.38,"1,060"
PA,2020-12-25,"21,934",69.23,"31,682","6,255",19.96,"3,050",78.1,"3,905"
SC,2020-12-25,"6,805",71.2,"9,558","1,635",17.11,960,76.25,"1,259"
TN,2020-12-25,"10,398",63.91,"16,270","2,863",18.16,"1,753",82.42,"2,127"
UT,2020-12-25,"2,358",45.2,"5,217",502,9.62,398,63.68,625
VA,2020-12-25,"10,190",62.1,"16,410","2,345",14.29,"1,378",69.74,"1,976"
MO,2020-12-25,"9,621",65.08,"14,783","2,500",16.91,"1,424",80.4,"1,770"
NC,2020-12-25,"14,901",69.77,"21,357","3,098",14.59,"1,995",80.67,"2,474"
NE,2020-12-25,"2,687",56.68,"4,741",508,10.9,343,62.36,550
NH,2020-12-25,"1,659",59.89,"2,770",286,10.32,167,59.22,282
NM,2020-12-25,"2,485",65.49,"3,794",690,18.2,408,98.43,414
OH,2020-12-25,"17,401",61.15,"28,458","4,600",16.2,"2,909",70.17,"4,146"
OR,2020-12-25,"4,148",63.94,"6,487",542,8.36,467,61.13,764
RI,2020-12-25,"1,870",83.82,"2,231",444,19.9,144,90.57,159
SD,2020-12-25,"1,211",51.82,"2,337",252,10.78,132,55.93,236
TX,2020-12-25,"39,567",67.55,"58,572","11,025",18.88,"6,393",88.45,"7,228"
VT,2020-12-25,583,49.7,"1,173",23,1.96,62,59.05,105
WA,2020-12-25,"7,735",62.72,"12,333","1,074",8.71,908,66.62,"1,363"
WI,2020-12-25,"6,612",53.04,"12,467","1,148",9.41,890,55.21,"1,612"
WV,2020-12-25,"3,284",66.36,"4,949",714,14.43,496,81.58,608
WY,2020-12-25,484,34.04,"1,422",124,8.75,52,40.94,127
