state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-11-30,"491,457",70.33,"699,044","102,299",14.7,"62,961",74.53,"84,496"
CT,2020-11-30,"5,851",71.62,"8,169","1,346",16.48,605,57.35,"1,055"
DC,2020-11-30,"2,247",78.79,"2,852",212,7.43,260,79.51,327
AK,2020-11-30,859,59.74,"1,438",151,10.5,105,84.68,124
AL,2020-11-30,"10,131",72.15,"14,042","1,838",13.09,"1,293",87.66,"1,475"
AR,2020-11-30,"5,020",68.18,"7,363","1,092",14.83,785,79.61,986
AZ,2020-11-30,"9,559",71.57,"13,356","2,634",19.74,"1,283",64.18,"1,999"
CA,2020-11-30,"44,017",71.15,"61,940","8,996",14.54,"5,549",76.13,"7,303"
CO,2020-11-30,"6,583",64.92,"10,140","1,876",18.5,972,67.22,"1,446"
DE,2020-11-30,"1,655",66.71,"2,481",303,12.21,143,82.18,174
FL,2020-11-30,"38,178",74.48,"51,257","4,823",9.59,"4,786",76.86,"6,227"
GA,2020-11-30,"14,410",76.61,"18,810","2,544",13.52,"2,186",83.12,"2,630"
HI,2020-11-30,"1,705",67.87,"2,512",62,2.47,148,65.49,226
IA,2020-11-30,"4,711",59.07,"7,975","1,157",14.7,505,72.25,699
ID,2020-11-30,"1,801",58.32,"3,088",455,14.73,219,77.39,283
IL,2020-11-30,"19,200",65.94,"29,117","5,889",20.23,"2,393",65.62,"3,647"
IN,2020-11-30,"10,692",65.14,"16,413","3,438",20.95,"1,657",76.78,"2,158"
KS,2020-11-30,"4,353",58.63,"7,425","1,213",16.34,621,79.31,783
KY,2020-11-30,"8,260",69.61,"11,866","1,801",15.18,"1,137",72.88,"1,560"
LA,2020-11-30,"8,141",65.19,"12,489","1,146",9.35,"1,280",72.98,"1,754"
MA,2020-11-30,"11,055",63.73,"17,346","1,112",6.41,958,50.74,"1,888"
MD,2020-11-30,"7,728",80.1,"9,648","1,914",19.84,991,77.79,"1,274"
ME,2020-11-30,"1,835",64.3,"2,854",173,6.06,222,69.38,320
MI,2020-11-30,"15,567",75.93,"20,503","4,305",21.0,"2,071",81.44,"2,543"
MN,2020-11-30,"7,011",72.01,"9,736","2,057",21.13,770,81.31,947
MS,2020-11-30,"4,904",61.25,"8,006","1,100",13.78,667,78.93,845
MT,2020-11-30,"1,810",63.31,"2,859",455,15.91,167,72.61,230
ND,2020-11-30,"1,480",74.6,"1,984",459,23.14,119,88.81,134
NJ,2020-11-30,"14,311",73.91,"19,364","3,205",16.55,"1,521",66.42,"2,290"
NV,2020-11-30,"5,745",77.82,"7,382","1,589",22.03,709,80.02,886
NY,2020-11-30,"32,942",70.34,"46,835","4,591",9.8,"3,258",55.03,"5,920"
OK,2020-11-30,"6,348",68.52,"9,264","1,623",17.79,880,84.7,"1,039"
PA,2020-11-30,"23,613",73.41,"32,166","5,666",17.83,"3,237",82.66,"3,916"
SC,2020-11-30,"7,418",77.17,"9,613",952,9.9,986,79.26,"1,244"
TN,2020-11-30,"12,140",74.07,"16,390","2,552",16.04,"1,821",83.76,"2,174"
UT,2020-11-30,"2,667",51.08,"5,221",561,10.75,431,66.0,653
VA,2020-11-30,"11,200",65.54,"17,089","1,713",10.02,"1,384",68.31,"2,026"
MO,2020-11-30,"10,238",72.87,"14,050","2,687",19.12,"1,524",84.57,"1,802"
NC,2020-11-30,"15,660",73.27,"21,372","2,202",10.37,"1,902",78.5,"2,423"
NE,2020-11-30,"3,147",67.13,"4,688",914,19.84,402,70.4,571
NH,2020-11-30,"1,801",65.02,"2,770",168,6.06,160,56.74,282
NM,2020-11-30,"2,774",74.19,"3,739",850,22.73,406,103.31,393
OH,2020-11-30,"19,575",67.63,"28,945","5,325",18.44,"2,970",74.25,"4,000"
OR,2020-11-30,"4,508",69.13,"6,521",685,10.5,485,64.24,755
RI,2020-11-30,"1,673",87.96,"1,902",451,23.71,139,85.28,163
SD,2020-11-30,"1,438",61.35,"2,344",525,22.4,166,83.42,199
TX,2020-11-30,"44,632",72.67,"61,610","9,415",15.31,"6,134",87.58,"7,013"
VT,2020-11-30,596,50.98,"1,169",25,2.14,64,61.54,104
WA,2020-11-30,"7,948",65.31,"12,199","1,044",8.56,896,69.89,"1,282"
WI,2020-11-30,"7,970",64.62,"12,334","2,083",17.27,"1,048",65.71,"1,595"
WV,2020-11-30,"3,730",73.83,"5,052",668,13.22,481,78.85,610
WY,2020-11-30,620,45.72,"1,356",254,18.87,65,54.62,119
