state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-11-28,"471,802",67.88,"695,388","96,747",13.98,"62,014",73.14,"84,794"
AL,2020-11-28,"9,413",67.26,"13,994","1,687",12.06,"1,263",84.82,"1,489"
AZ,2020-11-28,"9,388",70.16,"13,380","2,494",18.66,"1,287",64.8,"1,986"
CA,2020-11-28,"42,924",69.61,"61,737","8,183",13.27,"5,456",75.27,"7,249"
CT,2020-11-28,"5,706",69.88,"8,165","1,256",15.38,594,56.3,"1,055"
DC,2020-11-28,"2,196",78.04,"2,814",224,7.96,251,75.83,331
DE,2020-11-28,"1,610",65.1,"2,473",243,9.83,145,83.33,174
GA,2020-11-28,"13,596",72.28,"18,810","2,342",12.45,"2,111",80.51,"2,622"
ID,2020-11-28,"1,699",55.02,"3,088",436,14.12,218,76.76,284
IN,2020-11-28,"10,258",62.56,"16,398","3,340",20.37,"1,616",74.54,"2,168"
KS,2020-11-28,"4,262",57.53,"7,408","1,206",16.28,598,76.37,783
LA,2020-11-28,"7,944",63.59,"12,493","1,046",8.53,"1,240",70.33,"1,763"
MD,2020-11-28,"7,529",78.79,"9,556","1,807",18.91,993,77.64,"1,279"
MI,2020-11-28,"14,953",75.17,"19,893","4,116",20.69,"2,075",75.73,"2,740"
AK,2020-11-28,872,60.43,"1,443",158,10.95,93,76.23,122
AR,2020-11-28,"4,787",65.51,"7,307",998,13.66,768,78.05,984
CO,2020-11-28,"6,533",64.31,"10,158","1,808",17.8,977,66.69,"1,465"
FL,2020-11-28,"36,122",70.87,"50,969","4,592",9.18,"4,734",75.97,"6,231"
HI,2020-11-28,"1,590",63.6,"2,500",64,2.56,129,58.9,219
IA,2020-11-28,"4,512",56.47,"7,990","1,156",14.66,500,72.25,692
IL,2020-11-28,"18,708",64.36,"29,068","5,809",19.98,"2,383",65.38,"3,645"
KY,2020-11-28,"7,933",66.85,"11,866","1,736",14.63,"1,144",73.33,"1,560"
MA,2020-11-28,"10,695",61.25,"17,461","1,014",5.81,958,49.84,"1,922"
ME,2020-11-28,"1,775",62.54,"2,838",157,5.53,216,69.23,312
MN,2020-11-28,"7,107",72.59,"9,790","2,034",20.78,785,81.26,966
MO,2020-11-28,"9,898",70.95,"13,951","2,555",18.31,"1,526",84.68,"1,802"
MS,2020-11-28,"4,550",57.49,"7,914","1,009",12.75,660,76.74,860
MT,2020-11-28,"1,766",61.9,"2,853",468,16.4,159,67.37,236
NC,2020-11-28,"14,797",69.47,"21,300","2,080",9.83,"1,845",76.18,"2,422"
ND,2020-11-28,"1,469",75.68,"1,941",448,23.08,128,90.14,142
NE,2020-11-28,"3,002",64.71,"4,639",916,20.09,415,71.55,580
NH,2020-11-28,"1,733",62.56,"2,770",152,5.49,170,60.28,282
NJ,2020-11-28,"13,481",70.06,"19,241","3,005",15.62,"1,470",64.9,"2,265"
NM,2020-11-28,"2,695",73.19,"3,682",819,22.24,403,100.5,401
NV,2020-11-28,"5,526",74.99,"7,369","1,522",21.12,711,79.62,893
NY,2020-11-28,"30,956",66.13,"46,812","4,157",8.88,"3,224",54.37,"5,930"
OK,2020-11-28,"6,020",65.55,"9,184","1,546",17.1,873,84.27,"1,036"
PA,2020-11-28,"22,811",71.51,"31,900","5,258",16.69,"3,155",81.36,"3,878"
SC,2020-11-28,"6,890",72.12,"9,554",905,9.47,903,71.67,"1,260"
SD,2020-11-28,"1,413",59.65,"2,369",509,21.49,166,81.37,204
TN,2020-11-28,"11,537",70.41,"16,385","2,325",14.62,"1,776",81.96,"2,167"
UT,2020-11-28,"2,563",49.11,"5,219",529,10.14,432,68.46,631
VA,2020-11-28,"10,553",61.84,"17,066","1,591",9.32,"1,305",64.7,"2,017"
VT,2020-11-28,582,49.79,"1,169",20,1.71,60,57.69,104
OH,2020-11-28,"18,877",65.11,"28,993","5,051",17.46,"2,940",73.26,"4,013"
OR,2020-11-28,"4,489",68.56,"6,548",614,9.38,488,61.23,797
RI,2020-11-28,"1,681",86.56,"1,942",418,21.52,138,89.61,154
TX,2020-11-28,"42,788",71.41,"60,147","9,118",15.18,"6,056",85.36,"7,105"
WA,2020-11-28,"7,760",64.21,"12,115",955,7.88,881,70.37,"1,252"
WI,2020-11-28,"7,768",62.9,"12,350","2,024",16.75,"1,056",66.29,"1,593"
WV,2020-11-28,"3,510",69.92,"5,020",616,12.27,480,78.69,610
WY,2020-11-28,575,42.4,"1,356",231,17.16,60,50.42,119
