state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-11-29,"476,351",68.48,"695,907","99,227",14.32,"62,181",73.61,"84,482"
CT,2020-11-29,"5,704",69.76,"8,177","1,276",15.6,610,57.82,"1,055"
DC,2020-11-29,"2,191",77.75,"2,818",214,7.59,243,72.75,334
ID,2020-11-29,"1,707",55.58,"3,071",439,14.3,216,75.79,285
IN,2020-11-29,"10,425",63.52,"16,411","3,366",20.51,"1,622",75.48,"2,149"
KS,2020-11-29,"4,278",57.82,"7,399","1,171",15.83,580,74.84,775
LA,2020-11-29,"8,046",64.31,"12,511","1,081",8.8,"1,275",71.95,"1,772"
MD,2020-11-29,"7,581",78.81,"9,619","1,841",19.14,981,77.06,"1,273"
AK,2020-11-29,870,60.42,"1,440",161,11.18,93,75.0,124
AL,2020-11-29,"9,520",67.99,"14,003","1,738",12.41,"1,262",84.58,"1,492"
AR,2020-11-29,"4,905",67.02,"7,319","1,040",14.21,793,80.18,989
AZ,2020-11-29,"9,469",70.86,"13,363","2,561",19.19,"1,293",65.67,"1,969"
CA,2020-11-29,"43,260",70.25,"61,657","8,553",13.89,"5,455",74.75,"7,298"
CO,2020-11-29,"6,533",64.37,"10,149","1,840",18.13,987,68.16,"1,448"
DE,2020-11-29,"1,637",66.3,"2,469",289,11.71,145,83.33,174
FL,2020-11-29,"36,805",72.23,"50,953","4,671",9.34,"4,672",75.29,"6,205"
GA,2020-11-29,"13,893",73.9,"18,801","2,493",13.26,"2,174",82.41,"2,638"
HI,2020-11-29,"1,607",64.43,"2,494",66,2.65,130,59.91,217
IA,2020-11-29,"4,472",56.04,"7,980","1,148",14.58,493,71.14,693
IL,2020-11-29,"18,752",64.5,"29,072","5,805",19.97,"2,385",65.45,"3,644"
KY,2020-11-29,"8,031",67.68,"11,866","1,763",14.86,"1,144",73.33,"1,560"
MA,2020-11-29,"10,866",62.41,"17,411","1,106",6.35,962,50.05,"1,922"
ME,2020-11-29,"1,778",62.5,"2,845",172,6.05,218,69.87,312
MI,2020-11-29,"14,800",73.68,"20,086","4,061",20.22,"2,077",81.64,"2,544"
MN,2020-11-29,"7,005",71.78,"9,759","2,050",21.01,796,82.83,961
MS,2020-11-29,"4,597",58.11,"7,911","1,050",13.31,653,76.55,853
MT,2020-11-29,"1,757",61.58,"2,853",453,15.88,161,67.65,238
ND,2020-11-29,"1,492",76.04,"1,962",464,23.65,120,92.31,130
NJ,2020-11-29,"13,722",71.22,"19,266","3,157",16.39,"1,499",66.01,"2,271"
NV,2020-11-29,"5,600",75.88,"7,380","1,560",21.62,710,80.68,880
NY,2020-11-29,"31,470",67.24,"46,803","4,303",9.19,"3,212",54.31,"5,914"
OK,2020-11-29,"6,164",67.11,"9,185","1,582",17.49,881,85.45,"1,031"
PA,2020-11-29,"23,170",72.47,"31,972","5,465",17.3,"3,161",81.01,"3,902"
SC,2020-11-29,"7,025",73.48,"9,561",894,9.35,944,74.98,"1,259"
TN,2020-11-29,"11,703",71.44,"16,382","2,462",15.48,"1,814",83.52,"2,172"
UT,2020-11-29,"2,622",50.22,"5,221",553,10.59,444,70.36,631
VA,2020-11-29,"10,674",62.63,"17,042","1,611",9.45,"1,335",66.12,"2,019"
MO,2020-11-29,"9,980",72.01,"13,860","2,582",18.63,"1,522",84.32,"1,805"
NC,2020-11-29,"14,940",70.14,"21,301","2,189",10.34,"1,844",76.17,"2,421"
NE,2020-11-29,"3,047",65.23,"4,671",922,20.08,408,71.7,569
NH,2020-11-29,"1,773",64.01,"2,770",167,6.03,167,59.01,283
NM,2020-11-29,"2,708",73.37,"3,691",817,22.13,397,98.51,403
OH,2020-11-29,"18,897",65.2,"28,984","5,183",17.92,"2,906",72.04,"4,034"
OR,2020-11-29,"4,524",69.46,"6,513",667,10.24,492,64.4,764
RI,2020-11-29,"1,636",85.83,"1,906",434,22.77,132,85.71,154
SD,2020-11-29,"1,418",59.81,"2,371",514,21.68,174,83.25,209
TX,2020-11-29,"42,839",70.95,"60,571","9,319",15.41,"6,035",87.17,"6,933"
VT,2020-11-29,582,49.79,"1,169",22,1.88,63,60.58,104
WA,2020-11-29,"7,830",64.39,"12,191",991,8.13,904,67.11,"1,347"
WI,2020-11-29,"7,816",63.32,"12,343","2,037",16.87,"1,054",66.12,"1,594"
WV,2020-11-29,"3,618",72.37,"4,999",679,13.58,483,79.18,610
WY,2020-11-29,612,45.13,"1,356",245,18.2,60,50.42,119
